engine,sf,n_rows,data_gb_approx,best_s,median_s,all_runs,rate_Mrows_s
duckdb,10,59986052,5.28,8.4119,8.7758,"10.5560,8.7758,8.4119",7.13
duckdb,20,119994608,10.56,21.7389,24.5018,"24.5018,24.8358,21.7389",5.52
