scenario,gpu,gb,records,n_runs,passes,wall_ms,merge_ms,total_ms,gb_per_s,h2d_gb,d2h_gb,pcie_gb,depth
sf300_baseline_run1_cold,NVIDIA H100,216.00,1799989091,3,2,13961.78,79210.40,93172.18,2.3183,57.60,7.20,64.80,0.3
sf300_baseline_run2,NVIDIA H100,216.00,1799989091,3,2,4152.38,5948.24,10100.62,21.3847,57.60,7.20,64.80,0.3
sf300_baseline_run3,NVIDIA H100,216.00,1799989091,3,2,4215.86,6035.80,10251.66,21.0696,57.60,7.20,64.80,0.3
sf300_bitpack_run1_cold,NVIDIA H100,216.00,1799989091,3,2,58368.73,14228.45,72597.18,2.9753,43.20,7.20,50.40,0.2
sf300_bitpack_run2,NVIDIA H100,216.00,1799989091,3,2,3954.40,5247.51,9201.92,23.4732,43.20,7.20,50.40,0.2
sf300_bitpack_run3,NVIDIA H100,216.00,1799989091,3,2,3797.05,5145.71,8942.76,24.1535,43.20,7.20,50.40,0.2
