scenario,gpu,gb,records,n_runs,passes,wall_ms,merge_ms,total_ms,gb_per_s,h2d_gb,d2h_gb,pcie_gb,depth
sf100_baseline_run1,NVIDIA H100,72.00,600037902,1,1,2785.64,1973.82,4759.46,15.1287,39.60,2.40,42.00,0.6
sf100_baseline_run2,NVIDIA H100,72.00,600037902,1,1,2818.11,2560.97,5379.08,13.3860,39.60,2.40,42.00,0.6
sf100_baseline_run3,NVIDIA H100,72.00,600037902,1,1,2858.87,1642.46,4501.33,15.9963,39.60,2.40,42.00,0.6
sf100_baseline_run4,NVIDIA H100,72.00,600037902,1,1,2817.67,1974.07,4791.74,15.0268,39.60,2.40,42.00,0.6
sf100_baseline_run5,NVIDIA H100,72.00,600037902,1,1,2855.89,1905.76,4761.64,15.1218,39.60,2.40,42.00,0.6
sf100_bitpack_run1,NVIDIA H100,72.00,600037902,1,1,2789.08,4393.32,7182.40,10.0251,39.60,2.40,42.00,0.6
sf100_bitpack_run2,NVIDIA H100,72.00,600037902,1,1,2815.12,2031.73,4846.85,14.8560,39.60,2.40,42.00,0.6
sf100_bitpack_run3,NVIDIA H100,72.00,600037902,1,1,2845.59,1937.68,4783.28,15.0534,39.60,2.40,42.00,0.6
sf100_bitpack_run4,NVIDIA H100,72.00,600037902,1,1,2819.92,2075.47,4895.39,14.7086,39.60,2.40,42.00,0.6
sf100_bitpack_run5,NVIDIA H100,72.00,600037902,1,1,2847.92,2053.46,4901.38,14.6907,39.60,2.40,42.00,0.6
