# records=600000000, total=72.00 GB, prefetch_block=256
# touching input...
# generating random permutation...
# warmup gather (1 thread)...
threads,records,wall_ms,gbs
1,600000000,52257,1.38
2,600000000,31673,2.27
4,600000000,17711,4.07
8,600000000,7714,9.33
16,600000000,3336,21.58
32,600000000,1753,41.08
48,600000000,1833,39.29
64,600000000,1980,36.37
96,600000000,1938,37.16
128,600000000,2497,28.84
